,p_in,d_in,e,p_out
0,35.0,0.12390000000000001,0.0001,
1,35.0,0.12390000000000001,7.5e-05,
2,35.0,0.12390000000000001,5e-05,
3,35.0,0.12390000000000001,2.5e-05,
4,35.0,0.12390000000000001,1e-05,
5,35.0,0.24109999999999998,0.0001,10.735031872289493
6,35.0,0.24109999999999998,7.5e-05,13.52635647159154
7,35.0,0.24109999999999998,5e-05,16.349133506931224
8,35.0,0.24109999999999998,2.5e-05,19.589102812284004
9,35.0,0.24109999999999998,1e-05,22.179844342522536
10,35.0,0.3236,0.0001,21.57016470140634
11,35.0,0.3236,7.5e-05,22.58291900862797
12,35.0,0.3236,5e-05,23.77714983391483
13,35.0,0.3236,2.5e-05,25.33726873531339
14,35.0,0.3236,1e-05,26.713467410339238
15,35.0,0.37439999999999996,0.0001,24.36564288609763
16,35.0,0.37439999999999996,7.5e-05,25.099526315938817
17,35.0,0.37439999999999996,5e-05,25.981417211718597
18,35.0,0.37439999999999996,2.5e-05,27.158366701203207
19,35.0,0.37439999999999996,1e-05,28.217500648661012
20,35.0,0.51,0.0001,28.214378011923497
21,35.0,0.51,7.5e-05,28.629169149373876
22,35.0,0.51,5e-05,29.137968960314343
23,35.0,0.51,2.5e-05,29.833828718975013
24,35.0,0.51,1e-05,30.47543698600571
25,40.0,0.12390000000000001,0.0001,
26,40.0,0.12390000000000001,7.5e-05,
27,40.0,0.12390000000000001,5e-05,
28,40.0,0.12390000000000001,2.5e-05,
29,40.0,0.12390000000000001,1e-05,3.269249120669579
30,40.0,0.24109999999999998,0.0001,23.527221249591825
31,40.0,0.24109999999999998,7.5e-05,24.86308387047772
32,40.0,0.24109999999999998,5e-05,26.415053343478572
33,40.0,0.24109999999999998,2.5e-05,28.40896417774147
34,40.0,0.24109999999999998,1e-05,30.139301680547046
35,40.0,0.3236,0.0001,29.733416923174033
36,40.0,0.3236,7.5e-05,30.431368744741626
37,40.0,0.3236,5e-05,31.273839600265912
38,40.0,0.3236,2.5e-05,32.40341609139671
39,40.0,0.3236,1e-05,33.4235425712884
40,40.0,0.37439999999999996,0.0001,31.698667370920056
41,40.0,0.37439999999999996,7.5e-05,32.23231092275524
42,40.0,0.37439999999999996,5e-05,32.88248188570679
43,40.0,0.37439999999999996,2.5e-05,33.764076815007904
44,40.0,0.37439999999999996,1e-05,34.569216741797504
45,40.0,0.51,0.0001,34.573142685711744
46,40.0,0.51,7.5e-05,34.892647509739795
47,40.0,0.51,5e-05,35.28679689309446
48,40.0,0.51,2.5e-05,35.82954028167339
49,40.0,0.51,1e-05,36.333027425687
50,45.0,0.12390000000000001,0.0001,
51,45.0,0.12390000000000001,7.5e-05,
52,45.0,0.12390000000000001,5e-05,3.536026934942443
53,45.0,0.12390000000000001,2.5e-05,16.434361467158762
54,45.0,0.12390000000000001,1e-05,22.853883943809336
55,45.0,0.24109999999999998,0.0001,32.36660491734667
56,45.0,0.24109999999999998,7.5e-05,33.283379955799
57,45.0,0.24109999999999998,5e-05,34.37832305579452
58,45.0,0.24109999999999998,2.5e-05,35.827099247643744
59,45.0,0.24109999999999998,1e-05,37.117030134075684
60,45.0,0.3236,0.0001,36.82240405513132
61,45.0,0.3236,7.5e-05,37.350320028991206
62,45.0,0.3236,5e-05,37.99357973735349
63,45.0,0.3236,2.5e-05,38.865402188513585
64,45.0,0.3236,1e-05,39.660322908764726
65,45.0,0.37439999999999996,0.0001,38.32263118368576
66,45.0,0.37439999999999996,7.5e-05,38.73567507400636
67,45.0,0.37439999999999996,5e-05,39.24208019902163
68,45.0,0.37439999999999996,2.5e-05,39.933650284146104
69,45.0,0.37439999999999996,1e-05,40.56905229645726
70,45.0,0.51,0.0001,40.57862593477471
71,45.0,0.51,7.5e-05,40.83312407265043
72,45.0,0.51,5e-05,41.14799684881398
73,45.0,0.51,2.5e-05,41.5829136030959
74,45.0,0.51,1e-05,41.98717205366984
75,50.0,0.12390000000000001,0.0001,16.465798826163827
76,50.0,0.12390000000000001,7.5e-05,20.706637209884924
77,50.0,0.12390000000000001,5e-05,24.915220422277564
78,50.0,0.12390000000000001,2.5e-05,29.64236136265683
79,50.0,0.12390000000000001,1e-05,33.33141624349169
80,50.0,0.24109999999999998,0.0001,39.97870670167711
81,50.0,0.24109999999999998,7.5e-05,40.66664014163927
82,50.0,0.24109999999999998,5e-05,41.49745612981294
83,50.0,0.24109999999999998,2.5e-05,42.61030203494386
84,50.0,0.24109999999999998,1e-05,43.611336399522955
85,50.0,0.3236,0.0001,43.39302947829432
86,50.0,0.3236,7.5e-05,43.80696492923432
87,50.0,0.3236,5e-05,44.313678210925694
88,50.0,0.3236,2.5e-05,45.00381727859376
89,50.0,0.3236,1e-05,45.63507095664909
90,50.0,0.37439999999999996,0.0001,44.576265998259395
91,50.0,0.37439999999999996,7.5e-05,44.90412531204771
92,50.0,0.37439999999999996,5e-05,45.307283757118995
93,50.0,0.37439999999999996,2.5e-05,45.85957010926053
94,50.0,0.37439999999999996,1e-05,46.36774678460746
95,50.0,0.51,0.0001,46.382533996080554
96,50.0,0.51,7.5e-05,46.58777440201222
97,50.0,0.51,5e-05,46.8420306127798
98,50.0,0.51,2.5e-05,47.19362353492428
99,50.0,0.51,1e-05,47.52008406825827
100,90.0,0.12390000000000001,0.0001,
101,90.0,0.12390000000000001,7.5e-05,
102,90.0,0.12390000000000001,5e-05,
103,90.0,0.12390000000000001,2.5e-05,
104,90.0,0.12390000000000001,1e-05,
105,90.0,0.24109999999999998,0.0001,
106,90.0,0.24109999999999998,7.5e-05,
107,90.0,0.24109999999999998,5e-05,
108,90.0,0.24109999999999998,2.5e-05,
109,90.0,0.24109999999999998,1e-05,
110,90.0,0.3236,0.0001,
111,90.0,0.3236,7.5e-05,
112,90.0,0.3236,5e-05,
113,90.0,0.3236,2.5e-05,
114,90.0,0.3236,1e-05,
115,90.0,0.37439999999999996,0.0001,
116,90.0,0.37439999999999996,7.5e-05,
117,90.0,0.37439999999999996,5e-05,
118,90.0,0.37439999999999996,2.5e-05,
119,90.0,0.37439999999999996,1e-05,
120,90.0,0.51,0.0001,
121,90.0,0.51,7.5e-05,
122,90.0,0.51,5e-05,
123,90.0,0.51,2.5e-05,
124,90.0,0.51,1e-05,
