,p_in,d_in,e,p_out
0,35.0,0.12390000000000001,0.0001,
1,35.0,0.12390000000000001,7.5e-05,
2,35.0,0.12390000000000001,5e-05,
3,35.0,0.12390000000000001,2.5e-05,
4,35.0,0.12390000000000001,1e-05,
5,35.0,0.24109999999999998,0.0001,
6,35.0,0.24109999999999998,7.5e-05,
7,35.0,0.24109999999999998,5e-05,0.9769214620306762
8,35.0,0.24109999999999998,2.5e-05,11.197903149052802
9,35.0,0.24109999999999998,1e-05,16.06636700663352
10,35.0,0.3236,0.0001,15.171871163225656
11,35.0,0.3236,7.5e-05,16.92981227459962
12,35.0,0.3236,5e-05,18.8899805804575
13,35.0,0.3236,2.5e-05,21.312998497860878
14,35.0,0.3236,1e-05,23.343400508275195
15,35.0,0.37439999999999996,0.0001,19.849817197765095
16,35.0,0.37439999999999996,7.5e-05,20.987949114541617
17,35.0,0.37439999999999996,5e-05,22.321852637776924
18,35.0,0.37439999999999996,2.5e-05,24.05105217842337
19,35.0,0.37439999999999996,1e-05,25.557352801042338
20,35.0,0.51,0.0001,25.618437855956586
21,35.0,0.51,7.5e-05,26.209831046132795
22,35.0,0.51,5e-05,26.928748201286908
23,35.0,0.51,2.5e-05,27.899488234022925
24,35.0,0.51,1e-05,28.777692890485987
25,40.0,0.12390000000000001,0.0001,
26,40.0,0.12390000000000001,7.5e-05,
27,40.0,0.12390000000000001,5e-05,
28,40.0,0.12390000000000001,2.5e-05,
29,40.0,0.12390000000000001,1e-05,
30,40.0,0.24109999999999998,0.0001,14.049031588828294
31,40.0,0.24109999999999998,7.5e-05,16.721209877672855
32,40.0,0.24109999999999998,5e-05,19.54349420470051
33,40.0,0.24109999999999998,2.5e-05,22.87993301151134
34,40.0,0.24109999999999998,1e-05,25.585215271636788
35,40.0,0.3236,0.0001,25.053789539678764
36,40.0,0.3236,7.5e-05,26.13576918601992
37,40.0,0.3236,5e-05,27.4183202581495
38,40.0,0.3236,2.5e-05,29.10044949459389
39,40.0,0.3236,1e-05,30.580468570536272
40,40.0,0.37439999999999996,0.0001,28.074708136646194
41,40.0,0.37439999999999996,7.5e-05,28.87157867189153
42,40.0,0.37439999999999996,5e-05,29.831773923620876
43,40.0,0.37439999999999996,2.5e-05,31.11461352874246
44,40.0,0.37439999999999996,1e-05,32.263034613473046
45,40.0,0.51,0.0001,32.31500757263926
46,40.0,0.51,7.5e-05,32.77444089405314
47,40.0,0.51,5e-05,33.33816517549729
48,40.0,0.51,2.5e-05,34.10781373371566
49,40.0,0.51,1e-05,34.81161443361177
50,45.0,0.12390000000000001,0.0001,
51,45.0,0.12390000000000001,7.5e-05,
52,45.0,0.12390000000000001,5e-05,
53,45.0,0.12390000000000001,2.5e-05,
54,45.0,0.12390000000000001,1e-05,-1.262298453137789
55,45.0,0.24109999999999998,0.0001,25.588978453987497
56,45.0,0.24109999999999998,7.5e-05,27.127887390981797
57,45.0,0.24109999999999998,5e-05,28.916273253609052
58,45.0,0.24109999999999998,2.5e-05,31.211785763907358
59,45.0,0.24109999999999998,1e-05,33.192048714480464
60,45.0,0.3236,0.0001,32.803350079384856
61,45.0,0.3236,7.5e-05,33.61569227933422
62,45.0,0.3236,5e-05,34.59643366464067
63,45.0,0.3236,2.5e-05,35.909302306762925
64,45.0,0.3236,1e-05,37.08645792361141
65,45.0,0.37439999999999996,0.0001,35.10699045424186
66,45.0,0.37439999999999996,7.5e-05,35.731110648215264
67,45.0,0.37439999999999996,5e-05,36.491458451504016
68,45.0,0.37439999999999996,2.5e-05,37.520344274644515
69,45.0,0.37439999999999996,1e-05,38.452670896144504
70,45.0,0.51,0.0001,38.49948332473075
71,45.0,0.51,7.5e-05,38.876336199819505
72,45.0,0.51,5e-05,39.34091591277034
73,45.0,0.51,2.5e-05,39.978811476781
74,45.0,0.51,1e-05,40.56528057409166
75,50.0,0.12390000000000001,0.0001,
76,50.0,0.12390000000000001,7.5e-05,
77,50.0,0.12390000000000001,5e-05,
78,50.0,0.12390000000000001,2.5e-05,12.986877600692408
79,50.0,0.12390000000000001,1e-05,21.786994825236555
80,50.0,0.24109999999999998,0.0001,34.121772155460015
81,50.0,0.24109999999999998,7.5e-05,35.25941346477047
82,50.0,0.24109999999999998,5e-05,36.61558205189696
83,50.0,0.24109999999999998,2.5e-05,38.40408042323514
84,50.0,0.24109999999999998,1e-05,39.984253630935804
85,50.0,0.3236,0.0001,39.67845636998134
86,50.0,0.3236,7.5e-05,40.334746467473096
87,50.0,0.3236,5e-05,41.133920114893606
88,50.0,0.3236,2.5e-05,42.21451185077131
89,50.0,0.3236,1e-05,43.1925714567746
90,50.0,0.37439999999999996,0.0001,41.554268421821696
91,50.0,0.37439999999999996,7.5e-05,42.069097948445815
92,50.0,0.37439999999999996,5e-05,42.69987097355204
93,50.0,0.37439999999999996,2.5e-05,43.55922252347952
94,50.0,0.37439999999999996,1e-05,44.34287509287577
95,50.0,0.51,0.0001,44.38646674288862
96,50.0,0.51,7.5e-05,44.70544881295147
97,50.0,0.51,5e-05,45.09976668295366
98,50.0,0.51,2.5e-05,45.64293567860284
99,50.0,0.51,1e-05,46.143730578727
100,90.0,0.12390000000000001,0.0001,75.04675880366484
101,90.0,0.12390000000000001,7.5e-05,76.09117667155705
102,90.0,0.12390000000000001,5e-05,77.34707126279544
103,90.0,0.12390000000000001,2.5e-05,79.01436097651771
104,90.0,0.12390000000000001,1e-05,80.48581225425625
105,90.0,0.24109999999999998,0.0001,83.87136592707242
106,90.0,0.24109999999999998,7.5e-05,84.23846986338648
107,90.0,0.24109999999999998,5e-05,84.68900875718664
108,90.0,0.24109999999999998,2.5e-05,85.30227865878462
109,90.0,0.24109999999999998,1e-05,85.8567452397832
110,90.0,0.3236,0.0001,85.78352181311388
111,90.0,0.3236,7.5e-05,86.02420368092716
112,90.0,0.3236,5e-05,86.32107851532169
113,90.0,0.3236,2.5e-05,86.72769305300017
114,90.0,0.3236,1e-05,87.09745665910735
115,90.0,0.37439999999999996,0.0001,86.48693206746405
116,90.0,0.37439999999999996,7.5e-05,86.68320243597545
117,90.0,0.37439999999999996,5e-05,86.92580218093968
118,90.0,0.37439999999999996,2.5e-05,87.25892389107027
119,90.0,0.37439999999999996,1e-05,87.5625429344051
120,90.0,0.51,0.0001,87.6028171440069
121,90.0,0.51,7.5e-05,87.73128463800835
122,90.0,0.51,5e-05,87.89066793741375
123,90.0,0.51,2.5e-05,88.11051840234663
124,90.0,0.51,1e-05,88.31169713998456
