,p_in,d_in,e,p_out
0,35.0,0.12390000000000001,0.0001,
1,35.0,0.12390000000000001,7.5e-05,
2,35.0,0.12390000000000001,5e-05,
3,35.0,0.12390000000000001,2.5e-05,
4,35.0,0.12390000000000001,1e-05,
5,35.0,0.24109999999999998,0.0001,0.176012172838815
6,35.0,0.24109999999999998,7.5e-05,7.414141677653746
7,35.0,0.24109999999999998,5e-05,12.033580997627308
8,35.0,0.24109999999999998,2.5e-05,16.512609751307423
9,35.0,0.24109999999999998,1e-05,19.805160872168923
10,35.0,0.3236,0.0001,19.090671406418746
11,35.0,0.3236,7.5e-05,20.3549664880797
12,35.0,0.3236,5e-05,21.821152140578725
13,35.0,0.3236,2.5e-05,23.702970390974322
14,35.0,0.3236,1e-05,25.33387410114187
15,35.0,0.37439999999999996,0.0001,22.54394077004696
16,35.0,0.37439999999999996,7.5e-05,23.429181762114524
17,35.0,0.37439999999999996,5e-05,24.484019084575824
18,35.0,0.37439999999999996,2.5e-05,25.877604347065283
19,35.0,0.37439999999999996,1e-05,27.116987467131814
20,35.0,0.51,0.0001,27.134030162901883
21,35.0,0.51,7.5e-05,27.620142402893403
22,35.0,0.51,5e-05,28.214473445631153
23,35.0,0.51,2.5e-05,29.023504742378083
24,35.0,0.51,1e-05,29.764120993172174
25,40.0,0.12390000000000001,0.0001,
26,40.0,0.12390000000000001,7.5e-05,
27,40.0,0.12390000000000001,5e-05,
28,40.0,0.12390000000000001,2.5e-05,
29,40.0,0.12390000000000001,1e-05,
30,40.0,0.24109999999999998,0.0001,19.939944909993986
31,40.0,0.24109999999999998,7.5e-05,21.687338969958514
32,40.0,0.24109999999999998,5e-05,23.66727449653359
33,40.0,0.24109999999999998,2.5e-05,26.14906113423106
34,40.0,0.24109999999999998,1e-05,28.255755120510052
35,40.0,0.3236,0.0001,27.79106037611822
36,40.0,0.3236,7.5e-05,28.63911022552496
37,40.0,0.3236,5e-05,29.656450098771202
38,40.0,0.3236,2.5e-05,31.010014626170765
39,40.0,0.3236,1e-05,32.221105007119164
40,40.0,0.37439999999999996,0.0001,30.172457784500345
41,40.0,0.37439999999999996,7.5e-05,30.81262547432648
42,40.0,0.37439999999999996,5e-05,31.589562595427157
43,40.0,0.37439999999999996,2.5e-05,32.63753122270855
44,40.0,0.37439999999999996,1e-05,33.587774830915286
45,40.0,0.51,0.0001,33.60639315695512
46,40.0,0.51,7.5e-05,33.98467918686911
47,40.0,0.51,5e-05,34.45044445439827
48,40.0,0.51,2.5e-05,35.089889606403716
49,40.0,0.51,1e-05,35.68001254860946
50,45.0,0.12390000000000001,0.0001,
51,45.0,0.12390000000000001,7.5e-05,
52,45.0,0.12390000000000001,5e-05,
53,45.0,0.12390000000000001,2.5e-05,3.0398044047897943
54,45.0,0.12390000000000001,1e-05,16.39010711830635
55,45.0,0.24109999999999998,0.0001,29.53624541194434
56,45.0,0.24109999999999998,7.5e-05,30.691376494062954
57,45.0,0.24109999999999998,5e-05,32.05878800751542
58,45.0,0.24109999999999998,2.5e-05,33.84988377982593
59,45.0,0.24109999999999998,1e-05,35.42779610258308
60,45.0,0.3236,0.0001,35.08433202281445
61,45.0,0.3236,7.5e-05,35.73063938910902
62,45.0,0.3236,5e-05,36.5157606601158
63,45.0,0.3236,2.5e-05,37.57551894070207
64,45.0,0.3236,1e-05,38.5365176748433
65,45.0,0.37439999999999996,0.0001,36.9197404083109
66,45.0,0.37439999999999996,7.5e-05,37.42239822881859
67,45.0,0.37439999999999996,5e-05,38.0373733400206
68,45.0,0.37439999999999996,2.5e-05,38.8747437322114
69,45.0,0.37439999999999996,1e-05,39.640721039405754
70,45.0,0.51,0.0001,39.660969632453515
71,45.0,0.51,7.5e-05,39.968719621701936
72,45.0,0.51,5e-05,40.349035207605965
73,45.0,0.51,2.5e-05,40.873430949999346
74,45.0,0.51,1e-05,41.35920896613592
75,50.0,0.12390000000000001,0.0001,
76,50.0,0.12390000000000001,7.5e-05,7.0764729456618545
77,50.0,0.12390000000000001,5e-05,15.992554175154295
78,50.0,0.12390000000000001,2.5e-05,23.46530405720715
79,50.0,0.12390000000000001,1e-05,28.63842754039995
80,50.0,0.24109999999999998,0.0001,37.39449712816232
81,50.0,0.24109999999999998,7.5e-05,38.27009677006702
82,50.0,0.24109999999999998,5e-05,39.32322678254548
83,50.0,0.24109999999999998,2.5e-05,40.727297598386315
84,50.0,0.24109999999999998,1e-05,41.9841003999784
85,50.0,0.3236,0.0001,41.717319154892
86,50.0,0.3236,7.5e-05,42.237422580317265
87,50.0,0.3236,5e-05,42.87317182517343
88,50.0,0.3236,2.5e-05,43.73760916603752
89,50.0,0.3236,1e-05,44.52655896623406
90,50.0,0.37439999999999996,0.0001,43.2037634680792
91,50.0,0.37439999999999996,7.5e-05,43.61464923072508
92,50.0,0.37439999999999996,5e-05,44.1195370267805
93,50.0,0.37439999999999996,2.5e-05,44.8104275846452
94,50.0,0.37439999999999996,1e-05,45.44507072331628
95,50.0,0.51,0.0001,45.467028795264156
96,50.0,0.51,7.5e-05,45.723810925709124
97,50.0,0.51,5e-05,46.041824589146444
98,50.0,0.51,2.5e-05,46.481310630332324
99,50.0,0.51,1e-05,46.88900473840918
100,90.0,0.12390000000000001,0.0001,82.51712900445114
101,90.0,0.12390000000000001,7.5e-05,83.04171698546342
102,90.0,0.12390000000000001,5e-05,83.66621180392117
103,90.0,0.12390000000000001,2.5e-05,84.47837430561557
104,90.0,0.12390000000000001,1e-05,85.16567020817352
105,90.0,0.24109999999999998,0.0001,86.97737516871778
106,90.0,0.24109999999999998,7.5e-05,87.15548292136263
107,90.0,0.24109999999999998,5e-05,87.37193346875826
108,90.0,0.24109999999999998,2.5e-05,87.6604546961614
109,90.0,0.24109999999999998,1e-05,87.9101747327486
110,90.0,0.3236,0.0001,87.92530114394778
111,90.0,0.3236,7.5e-05,88.04117846690403
112,90.0,0.3236,5e-05,88.18274828128231
113,90.0,0.3236,2.5e-05,88.37262073241178
114,90.0,0.3236,1e-05,88.53779520861842
115,90.0,0.37439999999999996,0.0001,88.2726190757491
116,90.0,0.37439999999999996,7.5e-05,88.36688257180427
117,90.0,0.37439999999999996,5e-05,88.48228101120077
118,90.0,0.37439999999999996,2.5e-05,88.63741423884692
119,90.0,0.37439999999999996,1e-05,88.77261605097637
120,90.0,0.51,0.0001,88.82239176242138
121,90.0,0.51,7.5e-05,88.88385503786937
122,90.0,0.51,5e-05,88.95936616134884
123,90.0,0.51,2.5e-05,89.06129103423012
124,90.0,0.51,1e-05,89.15039850263032
