,p_in,d_in,e,p_out
0,35.0,0.12390000000000001,0.0001,
1,35.0,0.12390000000000001,7.5e-05,
2,35.0,0.12390000000000001,5e-05,
3,35.0,0.12390000000000001,2.5e-05,
4,35.0,0.12390000000000001,1e-05,
5,35.0,0.24109999999999998,0.0001,6.874989743260358
6,35.0,0.24109999999999998,7.5e-05,10.76838836380882
7,35.0,0.24109999999999998,5e-05,14.281580369622215
8,35.0,0.24109999999999998,2.5e-05,18.070004917907802
9,35.0,0.24109999999999998,1e-05,20.992469260204302
10,35.0,0.3236,0.0001,20.3305739878089
11,35.0,0.3236,7.5e-05,21.46434174230685
12,35.0,0.3236,5e-05,22.79096606202701
13,35.0,0.3236,2.5e-05,24.509807917488786
14,35.0,0.3236,1e-05,26.01333141152098
15,35.0,0.37439999999999996,0.0001,23.44507895309046
16,35.0,0.37439999999999996,7.5e-05,24.253662531164405
17,35.0,0.37439999999999996,5e-05,25.221491389758903
18,35.0,0.37439999999999996,2.5e-05,26.5068845954677
19,35.0,0.37439999999999996,1e-05,27.65706040007263
20,35.0,0.51,0.0001,27.663050463857356
21,35.0,0.51,7.5e-05,28.11388742717117
22,35.0,0.51,5e-05,28.665970959943337
23,35.0,0.51,2.5e-05,29.419378115699985
24,35.0,0.51,1e-05,30.111625458236517
25,40.0,0.12390000000000001,0.0001,
26,40.0,0.12390000000000001,7.5e-05,
27,40.0,0.12390000000000001,5e-05,
28,40.0,0.12390000000000001,2.5e-05,
29,40.0,0.12390000000000001,1e-05,
30,40.0,0.24109999999999998,0.0001,21.7351784976343
31,40.0,0.24109999999999998,7.5e-05,23.265865043065972
32,40.0,0.24109999999999998,5e-05,25.024379679276183
33,40.0,0.24109999999999998,2.5e-05,27.25821615731152
34,40.0,0.24109999999999998,1e-05,29.176874796068606
35,40.0,0.3236,0.0001,28.73959623596754
36,40.0,0.3236,7.5e-05,29.512812728165095
37,40.0,0.3236,5e-05,30.443429210841305
38,40.0,0.3236,2.5e-05,31.68664017352014
39,40.0,0.3236,1e-05,32.804463362616424
40,40.0,0.37439999999999996,0.0001,30.914015050381053
41,40.0,0.37439999999999996,7.5e-05,31.501655871517016
42,40.0,0.37439999999999996,5e-05,32.21631612915943
43,40.0,0.37439999999999996,2.5e-05,33.18296882427442
44,40.0,0.37439999999999996,1e-05,34.0628002029816
45,40.0,0.51,0.0001,34.07321231757358
46,40.0,0.51,7.5e-05,34.42288091255842
47,40.0,0.51,5e-05,34.853862301697696
48,40.0,0.51,2.5e-05,35.44652303285062
49,40.0,0.51,1e-05,35.994980286219864
50,45.0,0.12390000000000001,0.0001,
51,45.0,0.12390000000000001,7.5e-05,
52,45.0,0.12390000000000001,5e-05,
53,45.0,0.12390000000000001,2.5e-05,11.11960404993563
54,45.0,0.12390000000000001,1e-05,19.71428217119058
55,45.0,0.24109999999999998,0.0001,30.907490159923444
56,45.0,0.24109999999999998,7.5e-05,31.943692307296697
57,45.0,0.24109999999999998,5e-05,33.176097933277426
58,45.0,0.24109999999999998,2.5e-05,34.799234622236014
59,45.0,0.24109999999999998,1e-05,36.23744502473711
60,45.0,0.3236,0.0001,35.91577226915187
61,45.0,0.3236,7.5e-05,36.504552024576554
62,45.0,0.3236,5e-05,37.22099026029911
63,45.0,0.3236,2.5e-05,38.190258609449074
64,45.0,0.3236,1e-05,39.071917127836606
65,45.0,0.37439999999999996,0.0001,37.58839581926953
66,45.0,0.37439999999999996,7.5e-05,38.04784804937405
67,45.0,0.37439999999999996,5e-05,38.610578167736804
68,45.0,0.37439999999999996,2.5e-05,39.378152402403785
69,45.0,0.37439999999999996,1e-05,40.08207569327535
70,45.0,0.51,0.0001,40.09611322767365
71,45.0,0.51,7.5e-05,40.37842892672061
72,45.0,0.51,5e-05,40.727547897946664
73,45.0,0.51,2.5e-05,41.20948223423844
74,45.0,0.51,1e-05,41.656791037234086
75,50.0,0.12390000000000001,0.0001,7.758562402711627
76,50.0,0.12390000000000001,7.5e-05,14.818240275580791
77,50.0,0.12390000000000001,5e-05,20.596401266222347
78,50.0,0.12390000000000001,2.5e-05,26.509936939240653
79,50.0,0.12390000000000001,1e-05,30.907714628278832
80,50.0,0.24109999999999998,0.0001,38.60930935782917
81,50.0,0.24109999999999998,7.5e-05,39.394540933332316
82,50.0,0.24109999999999998,5e-05,40.341117932532335
83,50.0,0.24109999999999998,2.5e-05,41.60670328321816
84,50.0,0.24109999999999998,1e-05,42.74313842477717
85,50.0,0.3236,0.0001,42.49707940496699
86,50.0,0.3236,7.5e-05,42.967032663833805
87,50.0,0.3236,5e-05,43.542007972263946
88,50.0,0.3236,2.5e-05,44.32481033777207
89,50.0,0.3236,1e-05,45.040557643927016
90,50.0,0.37439999999999996,0.0001,43.840222192206646
91,50.0,0.37439999999999996,7.5e-05,44.21214702433098
92,50.0,0.37439999999999996,5e-05,44.669392476958365
93,50.0,0.37439999999999996,2.5e-05,45.29573848135468
94,50.0,0.37439999999999996,1e-05,45.871935214910415
95,50.0,0.51,0.0001,45.889291377394535
96,50.0,0.51,7.5e-05,46.12213769694751
97,50.0,0.51,5e-05,46.41057615775546
98,50.0,0.51,2.5e-05,46.80945192600844
99,50.0,0.51,1e-05,47.179935666919725
100,90.0,0.12390000000000001,0.0001,
101,90.0,0.12390000000000001,7.5e-05,
102,90.0,0.12390000000000001,5e-05,
103,90.0,0.12390000000000001,2.5e-05,
104,90.0,0.12390000000000001,1e-05,
105,90.0,0.24109999999999998,0.0001,
106,90.0,0.24109999999999998,7.5e-05,
107,90.0,0.24109999999999998,5e-05,
108,90.0,0.24109999999999998,2.5e-05,
109,90.0,0.24109999999999998,1e-05,
110,90.0,0.3236,0.0001,
111,90.0,0.3236,7.5e-05,
112,90.0,0.3236,5e-05,
113,90.0,0.3236,2.5e-05,
114,90.0,0.3236,1e-05,
115,90.0,0.37439999999999996,0.0001,
116,90.0,0.37439999999999996,7.5e-05,
117,90.0,0.37439999999999996,5e-05,
118,90.0,0.37439999999999996,2.5e-05,
119,90.0,0.37439999999999996,1e-05,
120,90.0,0.51,0.0001,
121,90.0,0.51,7.5e-05,
122,90.0,0.51,5e-05,
123,90.0,0.51,2.5e-05,
124,90.0,0.51,1e-05,
